iter	RMSE
0	10.84465393
1	9.779383399
2	8.819354699
3	7.947782031
4	7.170704978
5	6.463845975
6	5.824921079
7	5.255575164
8	4.737433748
9	4.272435746
10	3.849838404
11	3.472269937
12	3.135002139
13	2.829845133
14	2.553216336
15	2.305447983
16	2.082363293
17	1.880455904
18	1.699708035
19	1.535535518
20	1.389094462
21	1.256816917
22	1.138567646
23	1.032605266
24	0.9378146247
25	0.8532793221
26	0.7754723409
27	0.7056929278
28	0.6457739933
29	0.5920249862
30	0.5425453199
31	0.5000551331
32	0.4603849262
33	0.4271994386
34	0.3972697457
35	0.3705995132
36	0.3472859052
37	0.3257542576
38	0.3073676734
39	0.2923732939
40	0.2784904906
41	0.2681544063
42	0.2576898909
43	0.2474260365
44	0.2392882558
45	0.2320682193
46	0.2262877806
47	0.2223952302
48	0.2183481388
49	0.214314763
