iter	Passed	Remaining
0	164	8054
1	197	4739
2	231	3626
3	252	2904
4	271	2443
5	291	2138
6	310	1909
7	337	1773
8	364	1662
9	399	1597
10	422	1497
11	485	1538
12	513	1460
13	551	1418
14	580	1354
15	616	1310
16	649	1261
17	682	1213
18	713	1163
19	765	1147
20	791	1093
21	836	1064
22	872	1024
23	906	981
24	939	939
25	1001	924
26	1026	874
27	1053	827
28	1081	783
29	1112	741
30	1142	700
31	1171	658
32	1213	625
33	1291	607
34	1331	570
35	1365	531
36	1397	491
37	1432	452
38	1460	411
39	1490	372
40	1522	334
41	1546	294
42	1576	256
43	1606	219
44	1636	181
45	1664	144
46	1695	108
47	1729	72
48	1761	35
49	1797	0
