3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtQual,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,FireplaceQu,Fireplaces,Foundation,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotalBsmtSF,WoodDeckSF,YearBuilt_age,TotalLivingArea,NonKitchenBedroomAbvGr,BathRooms
0,3,1Fam,5.0,1.0,6,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,0.0,0,PConc,548.0,2.0,5.0,2,5.0,Attchd,1710,GasA,9,2Story,1,7.0,Lvl,Gtl,8450,Inside,Reg,0,60,RL,196.0,BrkFace,2,CollgCr,61,5,7,Y,0,CompShg,Gable,Normal,208500.0,WD,0,856.0,0,15,3371.0,4,4
0,3,1Fam,5.0,4.0,5,1,7.0,Y,Feedr,SBrkr,0,5,5,MetalSd,5.0,1,CBlock,460.0,2.0,5.0,2,5.0,Attchd,1262,GasA,9,1Story,1,5.0,Lvl,Gtl,9600,FR2,Reg,0,20,RL,0.0,None,5,Veenker,0,8,6,Y,0,CompShg,Gable,Normal,181500.0,WD,0,1262.0,298,42,3282.0,2,3
0,3,1Fam,5.0,2.0,6,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,5.0,1,PConc,608.0,2.0,5.0,2,5.0,Attchd,1786,GasA,9,2Story,1,7.0,Lvl,Gtl,11250,Inside,IR1,0,60,RL,162.0,BrkFace,9,CollgCr,42,5,7,Y,0,CompShg,Gable,Normal,223500.0,WD,0,920.0,0,17,3518.0,2,4
0,3,1Fam,7.0,1.0,5,1,5.0,Y,Norm,SBrkr,272,5,5,Wd Sdng,7.0,1,BrkTil,642.0,3.0,5.0,1,5.0,Detchd,1717,GasA,7,2Story,1,7.0,Lvl,Gtl,9550,Corner,IR1,0,70,RL,0.0,None,2,Crawfor,35,5,7,Y,0,CompShg,Gable,Abnorml,140000.0,WD,0,756.0,0,103,3422.0,3,2
0,4,1Fam,5.0,3.0,6,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,5.0,1,PConc,836.0,3.0,5.0,2,5.0,Attchd,2198,GasA,9,2Story,1,7.0,Lvl,Gtl,14260,FR2,IR1,0,60,RL,350.0,BrkFace,12,NoRidge,84,5,8,Y,0,CompShg,Gable,Normal,250000.0,WD,0,1145.0,192,18,4805.0,4,4
320,1,1Fam,5.0,1.0,6,1,7.0,Y,Norm,SBrkr,0,5,5,VinylSd,0.0,0,Wood,480.0,2.0,5.0,1,5.0,Attchd,1362,GasA,9,1.5Fin,1,5.0,Lvl,Gtl,14115,Inside,IR1,0,50,RL,0.0,None,10,Mitchel,30,5,5,Y,0,CompShg,Gable,Normal,143000.0,WD,0,796.0,40,25,3028.0,3,3
0,3,1Fam,5.0,3.0,6,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,636.0,2.0,5.0,2,5.0,Attchd,1694,GasA,9,1Story,1,7.0,Lvl,Gtl,10084,Inside,Reg,0,20,RL,186.0,Stone,8,Somerst,57,5,8,Y,0,CompShg,Gable,Normal,307000.0,WD,0,1686.0,255,14,4514.0,3,3
0,3,1Fam,5.0,2.0,5,4,7.0,Y,PosN,SBrkr,228,5,5,HdBoard,5.0,2,CBlock,484.0,2.0,5.0,2,5.0,Attchd,2090,GasA,9,2Story,1,5.0,Lvl,Gtl,10382,Corner,IR1,0,60,RL,240.0,Stone,11,NWAmes,204,6,7,Y,0,CompShg,Gable,Normal,200000.0,WD,0,1107.0,235,45,4588.0,3,4
0,2,1Fam,5.0,1.0,1,1,5.0,Y,Artery,FuseF,205,5,5,BrkFace,5.0,2,BrkTil,468.0,2.0,5.0,1,3.0,Detchd,1774,GasA,7,1.5Fin,2,5.0,Lvl,Gtl,6120,Inside,Reg,0,50,RM,0.0,None,4,OldTown,0,5,7,Y,0,CompShg,Gable,Abnorml,129900.0,WD,0,952.0,90,87,3489.0,4,2
0,2,2fmCon,5.0,1.0,6,1,5.0,Y,Artery,SBrkr,0,5,5,MetalSd,5.0,2,BrkTil,205.0,1.0,5.0,2,7.0,Attchd,1077,GasA,9,1.5Unf,2,5.0,Lvl,Gtl,7420,Corner,Reg,0,190,RL,0.0,None,1,BrkSide,4,6,5,Y,0,CompShg,Gable,Normal,118000.0,WD,0,991.0,0,79,2277.0,1,2
